y/delta, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
4.430894309e-01,2.145740558e+00,8.650975952e-01,1.245624888e+00,-6.874388816e-01,4.991908801e-03,6.274513182e-03
4.471544715e-01,2.125992726e+00,8.580934418e-01,1.234307226e+00,-6.813080320e-01,5.751477572e-03,6.328594004e-03
4.512195122e-01,2.105970495e+00,8.511936729e-01,1.222924188e+00,-6.747111626e-01,6.496640828e-03,6.381006724e-03
4.552845528e-01,2.085713465e+00,8.444114329e-01,1.211470032e+00,-6.677012731e-01,7.217745986e-03,6.432391834e-03
4.593495935e-01,2.065261234e+00,8.377489797e-01,1.199939019e+00,-6.603313630e-01,7.923058273e-03,6.479678387e-03
4.634146341e-01,2.044653402e+00,8.311947186e-01,1.188325407e+00,-6.526544318e-01,8.616013491e-03,6.522643010e-03
4.674796748e-01,2.023929568e+00,8.247361574e-01,1.176623455e+00,-6.447234791e-01,9.293670269e-03,6.565463335e-03
4.715447154e-01,2.003129330e+00,8.183608039e-01,1.164827421e+00,-6.365915043e-01,9.951436999e-03,6.613190586e-03
4.756097561e-01,1.982292288e+00,8.120561660e-01,1.152931566e+00,-6.283115070e-01,1.058673030e-02,6.666780185e-03
4.796747967e-01,1.961458041e+00,8.058097515e-01,1.140930148e+00,-6.199364868e-01,1.119784281e-02,6.724777458e-03
4.837398374e-01,1.940666188e+00,7.996090682e-01,1.128817426e+00,-6.115194430e-01,1.178548012e-02,6.784027251e-03
4.878048780e-01,1.919956328e+00,7.934416240e-01,1.116587659e+00,-6.031133754e-01,1.235591355e-02,6.837473141e-03
4.918699187e-01,1.899368061e+00,7.872949268e-01,1.104235106e+00,-5.947712834e-01,1.291669645e-02,6.877117464e-03
4.959349593e-01,1.878940984e+00,7.811564842e-01,1.091754027e+00,-5.865461665e-01,1.346207102e-02,6.899955786e-03
5.000000000e-01,1.858704700e+00,7.750138043e-01,1.079138754e+00,-5.784910243e-01,1.397436000e-02,6.907423900e-03
5.040650407e-01,1.838645630e+00,7.688543948e-01,1.066388464e+00,-5.706588563e-01,1.443482187e-02,6.901707074e-03
5.081300813e-01,1.818738545e+00,7.626657635e-01,1.053510065e+00,-5.631026620e-01,1.482323557e-02,6.887413495e-03
5.121951220e-01,1.798958215e+00,7.564354183e-01,1.040511154e+00,-5.558754409e-01,1.511920247e-02,6.869853771e-03
5.162601626e-01,1.779279409e+00,7.501508671e-01,1.027399331e+00,-5.490290923e-01,1.531417186e-02,6.850656223e-03
5.203252033e-01,1.759676899e+00,7.437996176e-01,1.014182193e+00,-5.425751362e-01,1.542159345e-02,6.824589553e-03
5.243902439e-01,1.740125453e+00,7.373691777e-01,1.000867339e+00,-5.364739834e-01,1.545594654e-02,6.786255997e-03
5.284552846e-01,1.720599841e+00,7.308470553e-01,9.874623685e-01,-5.306827608e-01,1.542709964e-02,6.732928189e-03
5.325203252e-01,1.701074834e+00,7.242207582e-01,9.739748786e-01,-5.251585955e-01,1.534051207e-02,6.663925708e-03
5.365853659e-01,1.681525202e+00,7.174777942e-01,9.604124684e-01,-5.198586145e-01,1.520644701e-02,6.580041276e-03
5.406504065e-01,1.661925714e+00,7.106062044e-01,9.467827362e-01,-5.147399449e-01,1.504792270e-02,6.486529147e-03
5.447154472e-01,1.642251140e+00,7.036042175e-01,9.330932807e-01,-5.097597137e-01,1.489273487e-02,6.390201479e-03
5.487804878e-01,1.622476251e+00,6.964792129e-01,9.193517002e-01,-5.048750479e-01,1.475554870e-02,6.297072653e-03
5.528455285e-01,1.602575816e+00,6.892388953e-01,9.055655933e-01,-5.000430745e-01,1.463337064e-02,6.212283682e-03
5.569105691e-01,1.582524605e+00,6.818909694e-01,8.917425584e-01,-4.952209206e-01,1.452004683e-02,6.140869851e-03
5.609756098e-01,1.562297388e+00,6.744431401e-01,8.778901941e-01,-4.903657133e-01,1.440138761e-02,6.087841304e-03
5.650406504e-01,1.541868935e+00,6.669031121e-01,8.640160988e-01,-4.854345794e-01,1.425603978e-02,6.058408861e-03
5.691056911e-01,1.521214016e+00,6.592785902e-01,8.501278710e-01,-4.803846461e-01,1.406930039e-02,6.055955423e-03
5.731707317e-01,1.500307401e+00,6.515772789e-01,8.362331092e-01,-4.751730403e-01,1.384823519e-02,6.077783943e-03
5.772357724e-01,1.479124454e+00,6.438068833e-01,8.223394119e-01,-4.697568892e-01,1.360866580e-02,6.118796710e-03
5.813008130e-01,1.457662083e+00,6.359751078e-01,8.084543775e-01,-4.640933197e-01,1.336694424e-02,6.173266469e-03
5.853658537e-01,1.435944320e+00,6.280896574e-01,7.945856046e-01,-4.581405973e-01,1.314153611e-02,6.234042491e-03
5.894308943e-01,1.413996926e+00,6.201582368e-01,7.807406917e-01,-4.518895481e-01,1.295126220e-02,6.293707871e-03
5.934959350e-01,1.391845661e+00,6.121885507e-01,7.669272372e-01,-4.453675546e-01,1.280873790e-02,6.345615805e-03
5.975609756e-01,1.369516286e+00,6.041883038e-01,7.531528396e-01,-4.386039400e-01,1.272072887e-02,6.383823978e-03
6.016260163e-01,1.347034562e+00,5.961652010e-01,7.394250974e-01,-4.316280275e-01,1.269345706e-02,6.402559377e-03
6.056910569e-01,1.324426249e+00,5.881269469e-01,7.257513021e-01,-4.244691403e-01,1.273233338e-02,6.397188315e-03
6.097560976e-01,1.301717108e+00,5.800812463e-01,7.121370395e-01,-4.171566016e-01,1.284237560e-02,6.363671505e-03
6.138211382e-01,1.278932900e+00,5.720358039e-01,6.985873056e-01,-4.097197346e-01,1.302371464e-02,6.299798126e-03
6.178861789e-01,1.256099384e+00,5.639983246e-01,6.851070963e-01,-4.021878625e-01,1.325604621e-02,6.210991406e-03
6.219512195e-01,1.233242322e+00,5.559765130e-01,6.717014072e-01,-3.945903086e-01,1.351288952e-02,6.104980942e-03
6.260162602e-01,1.210387475e+00,5.479780738e-01,6.583752339e-01,-3.869563959e-01,1.377434178e-02,5.987247445e-03
6.300813008e-01,1.187560602e+00,5.400107120e-01,6.451335723e-01,-3.793154479e-01,1.403521405e-02,5.858254022e-03
6.341463415e-01,1.164787465e+00,5.320821321e-01,6.319814179e-01,-3.716967875e-01,1.429261380e-02,5.717677234e-03
6.382113821e-01,1.142093824e+00,5.242000389e-01,6.189237665e-01,-3.641297381e-01,1.454418923e-02,5.564937150e-03
6.422764228e-01,1.119505439e+00,5.163721373e-01,6.059656137e-01,-3.566436229e-01,1.478863606e-02,5.398961420e-03
6.463414634e-01,1.097048072e+00,5.086052864e-01,5.931119553e-01,-3.492677650e-01,1.502368175e-02,5.219196431e-03
6.504065041e-01,1.074747482e+00,5.008997603e-01,5.803677869e-01,-3.420314877e-01,1.523725609e-02,5.030463540e-03
6.544715447e-01,1.052628976e+00,4.932527444e-01,5.677381043e-01,-3.349641142e-01,1.540751825e-02,4.842717104e-03
6.585365854e-01,1.030707443e+00,4.856614060e-01,5.552279031e-01,-3.280949677e-01,1.551662310e-02,4.665196679e-03
6.626016260e-01,1.008987399e+00,4.781229128e-01,5.428421789e-01,-3.214521124e-01,1.556861605e-02,4.503251604e-03
6.666666667e-01,9.874729139e-01,4.706344322e-01,5.305859276e-01,-3.150399851e-01,1.558118948e-02,4.359931211e-03
6.707317073e-01,9.661680547e-01,4.631931318e-01,5.184641448e-01,-3.088420238e-01,1.557186297e-02,4.236950270e-03
6.747967480e-01,9.450768896e-01,4.557961792e-01,5.064818262e-01,-3.028409353e-01,1.555988187e-02,4.130691854e-03
6.788617886e-01,9.242034869e-01,4.484407417e-01,4.946439674e-01,-2.970194265e-01,1.556535975e-02,4.035342517e-03
6.829268293e-01,9.035519148e-01,4.411239871e-01,4.829555642e-01,-2.913602043e-01,1.560442510e-02,3.945416570e-03
6.869918699e-01,8.831262412e-01,4.338430827e-01,4.714216123e-01,-2.858459756e-01,1.568272275e-02,3.855894840e-03
6.910569106e-01,8.629305344e-01,4.265951961e-01,4.600471073e-01,-2.804594474e-01,1.580321615e-02,3.761874590e-03
6.951219512e-01,8.429688625e-01,4.193774948e-01,4.488370449e-01,-2.751833264e-01,1.596577158e-02,3.659231654e-03
6.991869919e-01,8.232452936e-01,4.121871463e-01,4.377964209e-01,-2.700003195e-01,1.616364712e-02,3.545446185e-03
7.032520325e-01,8.037638960e-01,4.050213183e-01,4.269302309e-01,-2.648931338e-01,1.638910666e-02,3.418290753e-03
7.073170732e-01,7.845287376e-01,3.978771781e-01,4.162434706e-01,-2.598444760e-01,1.663637314e-02,3.278770966e-03
7.113821138e-01,7.655438866e-01,3.907518934e-01,4.057411357e-01,-2.548370530e-01,1.690275647e-02,3.133023776e-03
7.154471545e-01,7.468134113e-01,3.836426315e-01,3.954275478e-01,-2.498535718e-01,1.718553623e-02,2.987562971e-03
7.195121951e-01,7.283413796e-01,3.765465602e-01,3.853024927e-01,-2.448767393e-01,1.747787010e-02,2.848563463e-03
7.235772358e-01,7.101318598e-01,3.694608468e-01,3.753638855e-01,-2.398892622e-01,1.776757372e-02,2.721821161e-03
7.276422764e-01,6.921889200e-01,3.623826589e-01,3.656096358e-01,-2.348738476e-01,1.804280977e-02,2.612653375e-03
7.317073171e-01,6.745166284e-01,3.553094673e-01,3.560376529e-01,-2.298132023e-01,1.829568147e-02,2.522150036e-03
7.357723577e-01,6.571190529e-01,3.482434466e-01,3.466458463e-01,-2.246900332e-01,1.852250321e-02,2.447031008e-03
7.398373984e-01,6.400002619e-01,3.411904792e-01,3.374321254e-01,-2.194883682e-01,1.871921032e-02,2.384202574e-03
7.439024390e-01,6.231632059e-01,3.341565484e-01,3.283943995e-01,-2.142095191e-01,1.887991131e-02,2.331191119e-03
7.479674797e-01,6.066061259e-01,3.271476374e-01,3.195305781e-01,-2.088669382e-01,1.899710451e-02,2.286082752e-03
7.520325203e-01,5.903260227e-01,3.201697293e-01,3.108385707e-01,-2.034743296e-01,1.906335240e-02,2.247210673e-03
7.560975610e-01,5.743198970e-01,3.132288073e-01,3.023162865e-01,-1.980453975e-01,1.907120030e-02,2.214377313e-03
7.601626016e-01,5.585847495e-01,3.063308545e-01,2.939616352e-01,-1.925938460e-01,1.901306629e-02,2.188423450e-03
7.642276423e-01,5.431175809e-01,2.994818541e-01,2.857725259e-01,-1.871333793e-01,1.888253564e-02,2.169676331e-03
7.682926829e-01,5.279153920e-01,2.926877894e-01,2.777468683e-01,-1.816777013e-01,1.867890205e-02,2.156251070e-03
7.723577236e-01,5.129751833e-01,2.859546434e-01,2.698825716e-01,-1.762405164e-01,1.840443873e-02,2.145062948e-03
7.764227642e-01,4.982939557e-01,2.792883993e-01,2.621775453e-01,-1.708355285e-01,1.806211411e-02,2.133169048e-03
7.804878049e-01,4.838687099e-01,2.726950402e-01,2.546296988e-01,-1.654764418e-01,1.765895465e-02,2.117987369e-03
7.845528455e-01,4.696964465e-01,2.661805495e-01,2.472369415e-01,-1.601769606e-01,1.720357316e-02,2.097076503e-03
7.886178862e-01,4.557741663e-01,2.597509101e-01,2.399971829e-01,-1.549507887e-01,1.670627292e-02,2.068636318e-03
7.926829268e-01,4.420988699e-01,2.534121053e-01,2.329083323e-01,-1.498116305e-01,1.618515008e-02,2.033752266e-03
7.967479675e-01,4.286675582e-01,2.471701183e-01,2.259682992e-01,-1.447731900e-01,1.566080090e-02,1.994435831e-03
8.008130081e-01,4.154772317e-01,2.410309322e-01,2.191749929e-01,-1.398491714e-01,1.515121432e-02,1.952199794e-03
8.048780488e-01,4.025248912e-01,2.350005301e-01,2.125263229e-01,-1.350532787e-01,1.466374873e-02,1.906550137e-03
8.089430894e-01,3.898075375e-01,2.290846680e-01,2.060201987e-01,-1.303992162e-01,1.420299712e-02,1.856466308e-03
8.130081301e-01,3.773221712e-01,2.232842788e-01,1.996545295e-01,-1.259006879e-01,1.377090394e-02,1.801389966e-03
8.170731707e-01,3.650657929e-01,2.175956871e-01,1.934272249e-01,-1.215713979e-01,1.335993887e-02,1.742415683e-03
8.211382114e-01,3.530354036e-01,2.120150336e-01,1.873361942e-01,-1.174250504e-01,1.296027788e-02,1.681026935e-03
8.252032520e-01,3.412280038e-01,2.065384586e-01,1.813793472e-01,-1.134753495e-01,1.256376096e-02,1.618803045e-03
8.292682927e-01,3.296405942e-01,2.011621026e-01,1.755548214e-01,-1.097359994e-01,1.216705317e-02,1.557602415e-03
8.333333333e-01,3.182701756e-01,1.958821061e-01,1.698614015e-01,-1.062186391e-01,1.176774485e-02,1.499392110e-03
8.373983740e-01,3.071137487e-01,1.906946095e-01,1.642979857e-01,-1.029202073e-01,1.136694139e-02,1.445519023e-03
8.414634146e-01,2.961687321e-01,1.855957532e-01,1.588634727e-01,-9.983126735e-02,1.097414657e-02,1.395878417e-03
8.455284553e-01,2.854351380e-01,1.805816778e-01,1.535567607e-01,-9.694235670e-02,1.060145181e-02,1.349938996e-03
8.495934959e-01,2.749139712e-01,1.756485237e-01,1.483767483e-01,-9.424401290e-02,1.025683136e-02,1.307627194e-03
8.536585366e-01,2.646062388e-01,1.707924313e-01,1.433223339e-01,-9.172677346e-02,9.940394319e-03,1.269702867e-03
8.577235772e-01,2.545129478e-01,1.660095412e-01,1.383924158e-01,-8.938117592e-02,9.650073372e-03,1.237179377e-03
8.617886179e-01,2.446351053e-01,1.612959937e-01,1.335858925e-01,-8.719775778e-02,9.383110738e-03,1.210928192e-03
8.658536585e-01,2.349737182e-01,1.566479293e-01,1.289016625e-01,-8.516705657e-02,9.134834019e-03,1.191588886e-03
