# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
 4.88281255E-01,  1.94879650E+01,  1.81606580E+00,  7.37000030E-01,  9.83373680E-01, -4.91424790E-01,  1.29600360E-02,  6.87950770E-03,
 4.92187503E-01,  1.95124350E+01,  1.80109580E+00,  7.32607980E-01,  9.76710410E-01, -4.87695690E-01,  1.34828290E-02,  6.90052300E-03,
 4.96093752E-01,  1.95366980E+01,  1.78621390E+00,  7.28218410E-01,  9.70054560E-01, -4.83957270E-01,  1.39743600E-02,  6.90742390E-03,
 5.00000000E-01,  1.95607420E+01,  1.77143300E+00,  7.23831610E-01,  9.63397120E-01, -4.80202090E-01,  1.44180490E-02,  6.90212720E-03,
 5.03906248E-01,  1.95845820E+01,  1.75675730E+00,  7.19446500E-01,  9.56724580E-01, -4.76428540E-01,  1.47959840E-02,  6.88870780E-03,
 5.07812497E-01,  1.96082420E+01,  1.74218830E+00,  7.15061490E-01,  9.50021970E-01, -4.72636940E-01,  1.50898380E-02,  6.87194720E-03,
 5.11718745E-01,  1.96317280E+01,  1.72772340E+00,  7.10675440E-01,  9.43284140E-01, -4.68829110E-01,  1.52898920E-02,  6.85395150E-03,
 5.15624994E-01,  1.96550090E+01,  1.71334990E+00,  7.06288220E-01,  9.36529090E-01, -4.65010450E-01,  1.54067490E-02,  6.83050620E-03,
 5.19531242E-01,  1.96780500E+01,  1.69905380E+00,  7.01899970E-01,  9.29777970E-01, -4.61186860E-01,  1.54538300E-02,  6.79654880E-03,
 5.23437507E-01,  1.97008920E+01,  1.68482430E+00,  6.97515270E-01,  9.23044890E-01, -4.57364040E-01,  1.54409130E-02,  6.74902340E-03,
 5.27343756E-01,  1.97236590E+01,  1.67065410E+00,  6.93143920E-01,  9.16335700E-01, -4.53547460E-01,  1.53734770E-02,  6.68723690E-03,
 5.31250004E-01,  1.97464650E+01,  1.65653500E+00,  6.88795430E-01,  9.09656750E-01, -4.49741980E-01,  1.52577470E-02,  6.61096880E-03,
 5.35156253E-01,  1.97692170E+01,  1.64244680E+00,  6.84472690E-01,  9.03025270E-01, -4.45945890E-01,  1.51109820E-02,  6.52376210E-03,
 5.39062501E-01,  1.97916940E+01,  1.62836170E+00,  6.80174440E-01,  8.96465300E-01, -4.42153370E-01,  1.49573520E-02,  6.43151720E-03,
 5.42968749E-01,  1.98137280E+01,  1.61425750E+00,  6.75899220E-01,  8.89995330E-01, -4.38358840E-01,  1.48176770E-02,  6.33999410E-03,
 5.46874998E-01,  1.98354540E+01,  1.60014040E+00,  6.71644730E-01,  8.83602870E-01, -4.34558400E-01,  1.46938740E-02,  6.25398740E-03,
 5.50781246E-01,  1.98571110E+01,  1.58602700E+00,  6.67408420E-01,  8.77264890E-01, -4.30748710E-01,  1.45814270E-02,  6.17796370E-03,
 5.54687495E-01,  1.98788520E+01,  1.57194180E+00,  6.63189530E-01,  8.70959470E-01, -4.26928620E-01,  1.44727550E-02,  6.11639460E-03,
 5.58593743E-01,  1.99005720E+01,  1.55793410E+00,  6.58992750E-01,  8.64668000E-01, -4.23103420E-01,  1.43511150E-02,  6.07376810E-03,
 5.62500009E-01,  1.99221230E+01,  1.54405750E+00,  6.54823780E-01,  8.58372600E-01, -4.19279590E-01,  1.41981790E-02,  6.05454070E-03,
 5.66406257E-01,  1.99434210E+01,  1.53034260E+00,  6.50686150E-01,  8.52065550E-01, -4.15459530E-01,  1.40064680E-02,  6.06015210E-03,
 5.70312505E-01,  1.99645060E+01,  1.51678000E+00,  6.46579620E-01,  8.45756920E-01, -4.11638450E-01,  1.37876420E-02,  6.08672090E-03,
 5.74218754E-01,  1.99854280E+01,  1.50335590E+00,  6.42503630E-01,  8.39458800E-01, -4.07811000E-01,  1.35553580E-02,  6.12979030E-03,
 5.78125002E-01,  2.00062140E+01,  1.49005910E+00,  6.38458760E-01,  8.33187380E-01, -4.03976160E-01,  1.33246810E-02,  6.18394140E-03,
 5.82031251E-01,  2.00268680E+01,  1.47688070E+00,  6.34446950E-01,  8.26963510E-01, -4.00137890E-01,  1.31122700E-02,  6.24266380E-03,
 5.85937499E-01,  2.00473900E+01,  1.46381190E+00,  6.30470070E-01,  8.20807740E-01, -3.96300490E-01,  1.29344620E-02,  6.29943720E-03,
 5.89843747E-01,  2.00677370E+01,  1.45083810E+00,  6.26528190E-01,  8.14732010E-01, -3.92469120E-01,  1.28015790E-02,  6.34846620E-03,
 5.93749996E-01,  2.00878300E+01,  1.43794070E+00,  6.22620040E-01,  8.08741730E-01, -3.88649670E-01,  1.27193710E-02,  6.38450670E-03,
 5.97656244E-01,  2.01076040E+01,  1.42510330E+00,  6.18744560E-01,  8.02838200E-01, -3.84847850E-01,  1.26933870E-02,  6.40244140E-03,
 6.01562493E-01,  2.01270890E+01,  1.41232980E+00,  6.14903280E-01,  7.96987270E-01, -3.81067870E-01,  1.27284210E-02,  6.39817030E-03,
 6.05468758E-01,  2.01463660E+01,  1.39963530E+00,  6.11099060E-01,  7.91136040E-01, -3.77313160E-01,  1.28288650E-02,  6.36813150E-03,
 6.09375006E-01,  2.01655070E+01,  1.38703250E+00,  6.07334780E-01,  7.85235450E-01, -3.73585610E-01,  1.29961380E-02,  6.30987790E-03,
 6.13281255E-01,  2.01845220E+01,  1.37452160E+00,  6.03613250E-01,  7.79260780E-01, -3.69877780E-01,  1.32136290E-02,  6.22769590E-03,
 6.17187503E-01,  2.02033960E+01,  1.36209770E+00,  5.99937280E-01,  7.73196440E-01, -3.66178780E-01,  1.34579690E-02,  6.12839660E-03,
 6.21093752E-01,  2.02221150E+01,  1.34975690E+00,  5.96309130E-01,  7.67031980E-01, -3.62479010E-01,  1.37089150E-02,  6.01772580E-03,
 6.25000000E-01,  2.02406600E+01,  1.33749920E+00,  5.92728610E-01,  7.60779460E-01, -3.58774670E-01,  1.39600360E-02,  5.89671630E-03,
 6.28906248E-01,  2.02590150E+01,  1.32532580E+00,  5.89194840E-01,  7.54457150E-01, -3.55063560E-01,  1.42087100E-02,  5.76510360E-03,
 6.32812497E-01,  2.02771860E+01,  1.31323450E+00,  5.85706240E-01,  7.48083300E-01, -3.51343670E-01,  1.44525880E-02,  5.62249470E-03,
